F_CU_AGE,89409,673069,3255265
F_CU_RACES,5452,35912,232340
F_CU_MONEYSPENT,106217.75,683585.24,3726179.32
F_CU_LAST_VISIT_MONTHS_AGO,41478,344779,1568377
F_CU_FIRST_VISIT_MONTHS_AGO,123079,786041,3635882
F_CU_CREATED_YEAR,8801856,48270979,207353779
F_CU_CREATED_WEEKDAY,16214,113502,486672
F_CU_DAYS_RACED,3839,27345,153948
F_CU_CREATED_WEEK,600195,2812936,10959101
F_CU_DISTANCE,0,0,0
F_CU_FRIENDS_COUNT,4184,35215,144854
