F_CU_AGE,3840716,177027
F_CU_RACES,264881,8823
F_CU_MONEYSPENT,4354514.01,161468.3
F_CU_LAST_VISIT_MONTHS_AGO,1905171,49463
F_CU_FIRST_VISIT_MONTHS_AGO,4472402,72600
F_CU_CREATED_YEAR,251920801,12505813
F_CU_CREATED_WEEKDAY,587377,29011
F_CU_DAYS_RACED,178942,6190
F_CU_CREATED_WEEK,13075717,1296515
F_CU_DISTANCE,0,0
F_CU_FRIENDS_COUNT,178025,6228
